Date,Speed,Vehicle,Obj ID
Fri Jul 24 19:26:31 2020,25.0,car,541
Fri Jul 24 19:26:34 2020,21.8,car,548
Fri Jul 24 19:26:37 2020,19.5,car,553
Fri Jul 24 19:26:40 2020,20.0,car,561
Fri Jul 24 19:26:42 2020,18.5,car,563
Fri Jul 24 19:26:45 2020,18.5,car,564
Fri Jul 24 19:26:46 2020,20.0,car,566
Fri Jul 24 19:26:48 2020,23.5,car,569
Fri Jul 24 19:26:51 2020,21.0,car,583
Fri Jul 24 19:27:04 2020,15.5,bus,596
Fri Jul 24 19:27:05 2020,14.3,car,598
Fri Jul 24 19:27:07 2020,22.5,car,607
Fri Jul 24 19:27:08 2020,19.5,car,610
Fri Jul 24 19:27:13 2020,15.3,car,614
Fri Jul 24 19:27:14 2020,20.0,car,618
Fri Jul 24 19:27:15 2020,22.5,car,619
Fri Jul 24 19:27:16 2020,24.5,car,624
Fri Jul 24 19:27:18 2020,22.0,car,627
Fri Jul 24 19:27:19 2020,27.5,car,628
Fri Jul 24 19:27:21 2020,30.0,car,631
Fri Jul 24 19:27:24 2020,23.5,car,642
Fri Jul 24 19:27:25 2020,25.0,car,644
Fri Jul 24 19:27:28 2020,25.0,car,651
Fri Jul 24 19:27:30 2020,30.0,car,654
Fri Jul 24 19:27:32 2020,23.5,car,659
Fri Jul 24 19:27:33 2020,35.0,car,662
Fri Jul 24 19:27:36 2020,23.5,car,670
Fri Jul 24 19:27:38 2020,25.0,car,676
Fri Jul 24 19:27:40 2020,25.0,car,679
Fri Jul 24 19:27:42 2020,27.5,car,683
Fri Jul 24 19:27:46 2020,23.5,car,689
Fri Jul 24 19:27:48 2020,25.0,car,693
Fri Jul 24 19:27:49 2020,25.0,car,697
Fri Jul 24 19:27:51 2020,25.0,car,700
Fri Jul 24 19:27:52 2020,25.0,car,704
Fri Jul 24 19:27:54 2020,22.0,motorbike,705
Fri Jul 24 19:27:55 2020,26.0,car,711
Fri Jul 24 19:27:57 2020,23.5,car,713
Fri Jul 24 19:27:58 2020,25.0,car,715
Fri Jul 24 19:28:00 2020,23.5,car,722
Fri Jul 24 19:28:04 2020,25.0,car,728
Fri Jul 24 19:28:06 2020,25.0,car,731
Fri Jul 24 19:28:08 2020,25.0,car,738
Fri Jul 24 19:28:11 2020,26.0,car,740
Fri Jul 24 19:28:12 2020,31.0,car,742
Fri Jul 24 19:28:14 2020,27.5,car,745
Fri Jul 24 19:28:16 2020,30.0,car,747
Fri Jul 24 19:28:18 2020,27.5,car,750
Fri Jul 24 19:28:19 2020,32.5,car,751
